"filename", "language", "C#", "XML", "JSON with Comments", "Markdown", "JSON", "HTML", "TypeScript", "TypeScript JSX", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\API.csproj", "XML", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\Controllers\AccountController.cs", "C#", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 98
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\Controllers\AlbumImageController.cs", "C#", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\Controllers\AlbumsController.cs", "C#", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 68
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\Controllers\BaseApiController.cs", "C#", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\Controllers\FallbackController.cs", "C#", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\Controllers\ImagesController.cs", "C#", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 66
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\Controllers\ProfilesController.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\Controllers\TagImageController.cs", "C#", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\Controllers\TagsController.cs", "C#", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 40
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\Controllers\WeatherForecastController.cs", "C#", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\DTOs\LoginDto.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\DTOs\RegisterDto.cs", "C#", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\DTOs\UserDto.cs", "C#", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\Extensions\ApplicationServiceExtensions.cs", "C#", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 45
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\Extensions\IdentityServiceExtensions.cs", "C#", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\MiddleWare\ExceptionMiddleWare.cs", "C#", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 44
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\Program.cs", "C#", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 59
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\Properties\launchSettings.json", "JSON", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 1, 42
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\Services\TokenService.cs", "C#", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\WeatherForecast.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\appsettings.Development.json", "JSON", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\appsettings.json", "JSON", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Debug\net7.0\API.deps.json", "JSON", 0, 0, 0, 0, 1553, 0, 0, 0, 0, 0, 0, 0, 1553
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Debug\net7.0\API.runtimeconfig.json", "JSON", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Debug\net7.0\API.staticwebassets.runtime.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Debug\net7.0\appsettings.Development.json", "JSON", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Debug\net7.0\appsettings.json", "JSON", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Publish\API.deps.json", "JSON", 0, 0, 0, 0, 1521, 0, 0, 0, 0, 0, 0, 0, 1521
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Publish\API.runtimeconfig.json", "JSON", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Publish\appsettings.Development.json", "JSON", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Publish\appsettings.json", "JSON", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Publish\wwwroot\asset-manifest.json", "JSON", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 31
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Publish\wwwroot\index.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Publish\wwwroot\manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Publish\wwwroot\static\css\main.6900ca00.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 317, 0, 363
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Publish\wwwroot\static\js\787.627756db.chunk.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Publish\wwwroot\static\js\main.9cb2dfea.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 3
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Publish\wwwroot\static\media\brand-icons.6729d29753e000c17489.svg", "XML", 0, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 1009
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Publish\wwwroot\static\media\icons.62d9dae4e0040e81c980.svg", "XML", 0, 1514, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 1519
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Publish\wwwroot\static\media\outline-icons.9c4845b4b41ef40a22fa.svg", "XML", 0, 362, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 367
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Release\net7.0\API.deps.json", "JSON", 0, 0, 0, 0, 1553, 0, 0, 0, 0, 0, 0, 0, 1553
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Release\net7.0\API.runtimeconfig.json", "JSON", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Release\net7.0\API.staticwebassets.runtime.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Release\net7.0\appsettings.Development.json", "JSON", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
