Date : 2023-04-18 16:49:26
Directory : c:\Users\craym\Desktop\school\Project\IMGWeb
Total : 215 files,  52932 codes, 1097 comments, 1608 blanks, all 55637 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         42 |     36,331 |          0 |         17 |     36,348 |
| XML                |         14 |      8,715 |         36 |         33 |      8,784 |
| C#                 |         88 |      5,035 |         61 |      1,236 |      6,332 |
| TypeScript JSX     |         33 |      1,750 |          6 |        178 |      1,934 |
| TypeScript         |         22 |        835 |         11 |        107 |        953 |
| CSS                |          4 |        185 |        951 |         14 |      1,150 |
| JSON with Comments |          1 |         26 |          0 |          1 |         27 |
| Markdown           |          1 |         26 |          0 |         21 |         47 |
| HTML               |          4 |         23 |         23 |          1 |         47 |
| JavaScript         |          6 |          6 |          9 |          0 |         15 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                        |        215 |     52,932 |      1,097 |      1,608 |     55,637 |
| API                                                                                                                      |         55 |     11,440 |        669 |        117 |     12,226 |
| API (Files)                                                                                                              |          5 |         96 |          5 |         25 |        126 |
| API\Controllers                                                                                                          |         10 |        367 |          0 |         52 |        419 |
| API\DTOs                                                                                                                 |          3 |         47 |          0 |          3 |         50 |
| API\Extensions                                                                                                           |          2 |         77 |          0 |          9 |         86 |
| API\MiddleWare                                                                                                           |          1 |         37 |          0 |          7 |         44 |
| API\Properties                                                                                                           |          1 |         41 |          0 |          1 |         42 |
| API\Services                                                                                                             |          1 |         36 |          0 |          6 |         42 |
| API\bin                                                                                                                  |         23 |      7,754 |        332 |         10 |      8,096 |
| API\bin\Debug                                                                                                            |          5 |      1,600 |          0 |          2 |      1,602 |
| API\bin\Debug\net7.0                                                                                                     |          5 |      1,600 |          0 |          2 |      1,602 |
| API\bin\Publish                                                                                                          |         13 |      4,553 |        332 |          6 |      4,891 |
| API\bin\Publish (Files)                                                                                                  |          4 |      1,568 |          0 |          2 |      1,570 |
| API\bin\Publish\wwwroot                                                                                                  |          9 |      2,985 |        332 |          4 |      3,321 |
| API\bin\Publish\wwwroot (Files)                                                                                          |          3 |         57 |          0 |          1 |         58 |
| API\bin\Publish\wwwroot\static                                                                                           |          6 |      2,928 |        332 |          3 |      3,263 |
| API\bin\Publish\wwwroot\static\css                                                                                       |          1 |         46 |        317 |          0 |        363 |
| API\bin\Publish\wwwroot\static\js                                                                                        |          2 |          2 |          3 |          0 |          5 |
| API\bin\Publish\wwwroot\static\media                                                                                     |          3 |      2,880 |         12 |          3 |      2,895 |
| API\bin\Release                                                                                                          |          5 |      1,601 |          0 |          2 |      1,603 |
| API\bin\Release\net7.0                                                                                                   |          5 |      1,601 |          0 |          2 |      1,603 |
| API\wwwroot                                                                                                              |          9 |      2,985 |        332 |          4 |      3,321 |
| API\wwwroot (Files)                                                                                                      |          3 |         57 |          0 |          1 |         58 |
| API\wwwroot\static                                                                                                       |          6 |      2,928 |        332 |          3 |      3,263 |
| API\wwwroot\static\css                                                                                                   |          1 |         46 |        317 |          0 |        363 |
| API\wwwroot\static\js                                                                                                    |          2 |          2 |          3 |          0 |          5 |
| API\wwwroot\static\media                                                                                                 |          3 |      2,880 |         12 |          3 |      2,895 |
| Application                                                                                                              |         50 |      4,058 |         20 |        269 |      4,347 |
| Application (Files)                                                                                                      |          1 |         18 |          0 |          5 |         23 |
| Application\AlbumImage                                                                                                   |          3 |         97 |          1 |         20 |        118 |
| Application\Albums                                                                                                       |         12 |        423 |          0 |         82 |        505 |
| Application\Core                                                                                                         |          3 |         46 |          0 |          5 |         51 |
| Application\GenericDtos                                                                                                  |          2 |         22 |          0 |          2 |         24 |
| Application\Images                                                                                                       |         12 |        463 |         15 |         82 |        560 |
| Application\Interfaces                                                                                                   |          2 |         21 |          0 |          2 |         23 |
| Application\Profiles                                                                                                     |          2 |         51 |          0 |          7 |         58 |
| Application\TagImages                                                                                                    |          3 |        102 |          2 |         18 |        122 |
| Application\Tags                                                                                                         |          8 |        281 |          2 |         46 |        329 |
| Application\bin                                                                                                          |          2 |      2,534 |          0 |          0 |      2,534 |
| Application\bin\Debug                                                                                                    |          1 |      1,267 |          0 |          0 |      1,267 |
| Application\bin\Debug\net7.0                                                                                             |          1 |      1,267 |          0 |          0 |      1,267 |
| Application\bin\Release                                                                                                  |          1 |      1,267 |          0 |          0 |      1,267 |
| Application\bin\Release\net7.0                                                                                           |          1 |      1,267 |          0 |          0 |      1,267 |
| Domain                                                                                                                   |          9 |        791 |          0 |          9 |        800 |
| Domain (Files)                                                                                                           |          7 |        105 |          0 |          9 |        114 |
| Domain\bin                                                                                                               |          2 |        686 |          0 |          0 |        686 |
| Domain\bin\Debug                                                                                                         |          1 |        343 |          0 |          0 |        343 |
| Domain\bin\Debug\net7.0                                                                                                  |          1 |        343 |          0 |          0 |        343 |
| Domain\bin\Release                                                                                                       |          1 |        343 |          0 |          0 |        343 |
| Domain\bin\Release\net7.0                                                                                                |          1 |        343 |          0 |          0 |        343 |
| Infrastructure                                                                                                           |          7 |      2,759 |          0 |         26 |      2,785 |
| Infrastructure (Files)                                                                                                   |          1 |         13 |          0 |          5 |         18 |
| Infrastructure\Images                                                                                                    |          2 |         63 |          0 |          9 |         72 |
| Infrastructure\Security                                                                                                  |          2 |         55 |          0 |         12 |         67 |
| Infrastructure\bin                                                                                                       |          2 |      2,628 |          0 |          0 |      2,628 |
| Infrastructure\bin\Debug                                                                                                 |          1 |      1,314 |          0 |          0 |      1,314 |
| Infrastructure\bin\Debug\net7.0                                                                                          |          1 |      1,314 |          0 |          0 |      1,314 |
| Infrastructure\bin\Release                                                                                               |          1 |      1,314 |          0 |          0 |      1,314 |
| Infrastructure\bin\Release\net7.0                                                                                        |          1 |      1,314 |          0 |          0 |      1,314 |
| Persistence                                                                                                              |         15 |      5,018 |         36 |        856 |      5,910 |
| Persistence (Files)                                                                                                      |          2 |         72 |         10 |         12 |         94 |
| Persistence\Migrations                                                                                                   |         11 |      2,644 |         26 |        844 |      3,514 |
| Persistence\bin                                                                                                          |          2 |      2,302 |          0 |          0 |      2,302 |
| Persistence\bin\Debug                                                                                                    |          1 |      1,151 |          0 |          0 |      1,151 |
| Persistence\bin\Debug\net7.0                                                                                             |          1 |      1,151 |          0 |          0 |      1,151 |
| Persistence\bin\Release                                                                                                  |          1 |      1,151 |          0 |          0 |      1,151 |
| Persistence\bin\Release\net7.0                                                                                           |          1 |      1,151 |          0 |          0 |      1,151 |
| bin                                                                                                                      |         17 |      8,628 |        332 |          6 |      8,966 |
| bin\Publish                                                                                                              |         17 |      8,628 |        332 |          6 |      8,966 |
| bin\Publish (Files)                                                                                                      |          8 |      5,643 |          0 |          2 |      5,645 |
| bin\Publish\wwwroot                                                                                                      |          9 |      2,985 |        332 |          4 |      3,321 |
| bin\Publish\wwwroot (Files)                                                                                              |          3 |         57 |          0 |          1 |         58 |
| bin\Publish\wwwroot\static                                                                                               |          6 |      2,928 |        332 |          3 |      3,263 |
| bin\Publish\wwwroot\static\css                                                                                           |          1 |         46 |        317 |          0 |        363 |
| bin\Publish\wwwroot\static\js                                                                                            |          2 |          2 |          3 |          0 |          5 |
| bin\Publish\wwwroot\static\media                                                                                         |          3 |      2,880 |         12 |          3 |      2,895 |
| client-app                                                                                                               |         62 |     20,238 |         40 |        325 |     20,603 |
| client-app (Files)                                                                                                       |          4 |     17,561 |          0 |         24 |     17,585 |
| client-app\public                                                                                                        |          2 |         45 |         23 |          2 |         70 |
| client-app\src                                                                                                           |         56 |      2,632 |         17 |        299 |      2,948 |
| client-app\src (Files)                                                                                                   |          4 |         35 |          5 |          9 |         49 |
| client-app\src\app                                                                                                       |         27 |      1,029 |          7 |        139 |      1,175 |
| client-app\src\app\api                                                                                                   |          1 |        113 |          2 |         14 |        129 |
| client-app\src\app\common                                                                                                |          3 |         99 |          0 |         13 |        112 |
| client-app\src\app\common\confirmation                                                                                   |          1 |         63 |          0 |         10 |         73 |
| client-app\src\app\common\form                                                                                           |          1 |         23 |          0 |          2 |         25 |
| client-app\src\app\common\modals                                                                                         |          1 |         13 |          0 |          1 |         14 |
| client-app\src\app\dtos                                                                                                  |          3 |         11 |          0 |          0 |         11 |
| client-app\src\app\layout                                                                                                |          4 |        152 |          1 |         23 |        176 |
| client-app\src\app\models                                                                                                |          7 |         75 |          0 |          6 |         81 |
| client-app\src\app\router                                                                                                |          2 |         40 |          0 |          5 |         45 |
| client-app\src\app\stores                                                                                                |          7 |        539 |          4 |         78 |        621 |
| client-app\src\features                                                                                                  |         25 |      1,568 |          5 |        151 |      1,724 |
| client-app\src\features\errors                                                                                           |          3 |         52 |          0 |          5 |         57 |
| client-app\src\features\home                                                                                             |          1 |         41 |          0 |          1 |         42 |
| client-app\src\features\images                                                                                           |          9 |        903 |          3 |         88 |        994 |
| client-app\src\features\profiles                                                                                         |          3 |         81 |          0 |         15 |         96 |
| client-app\src\features\profiles (Files)                                                                                 |          1 |         30 |          0 |          6 |         36 |
| client-app\src\features\profiles\panes                                                                                   |          2 |         51 |          0 |          9 |         60 |
| client-app\src\features\tags                                                                                             |          4 |        160 |          0 |         13 |        173 |
